Species,SRR1914382,SRR1914383,SRR1914384,SRR1914691,SRR1914696,SRR1914700,SRR1914713,SRR1914738,SRR1914742,SRR1914747,SRR1916193,SRR1916194,SRR1916195,SRR1916196,SRR1916197,SRR1916198,SRR1916199,SRR1916200,SRR1916201,SRR1916202,SRR1916203,SRR1916204,SRR1916205,SRR1916206,SRR1916207,SRR1916208,SRR1916209,SRR1916210,SRR1916211,SRR1916212,SRR1916213,SRR1916214,SRR1916215,SRR1916216,SRR1916217,SRR1916218,SRR1916219,SRR1916220
ASV_001392,82,82,82,665,665,665,82,0,0,0,82,0,665,0,0,0,665,0,0,0,0,0,0,665,0,0,0,0,82,82,0,82,665,0,665,0,0,665
ASV_001615,128,128,128,531,531,531,128,0,0,0,128,0,531,0,0,0,531,0,0,0,0,0,0,531,0,0,0,0,128,128,0,128,531,0,531,0,0,531
ASV_001698,106,106,106,515,515,515,106,0,0,0,106,0,515,0,0,0,515,0,0,0,0,0,0,515,0,0,0,0,106,106,0,106,515,0,515,0,0,515
ASV_001839,82,82,82,43,43,43,82,192,192,192,82,191,43,192,192,192,43,191,191,191,191,191,191,43,192,192,191,192,82,82,191,82,43,192,43,192,192,43
ASV_001872,89,89,89,0,0,0,89,45,45,45,89,416,0,45,45,45,0,416,416,416,416,416,416,0,45,45,416,45,89,89,416,89,0,45,0,45,45,0
ASV_001968,121,121,121,425,425,425,121,0,0,0,121,0,425,0,0,0,425,0,0,0,0,0,0,425,0,0,0,0,121,121,0,121,425,0,425,0,0,425
ASV_002079,84,84,84,44,44,44,84,149,149,149,84,192,44,149,149,149,44,192,192,192,192,192,192,44,149,149,192,149,84,84,192,84,44,149,44,149,149,44
ASV_002114,69,69,69,0,0,0,69,68,68,68,69,349,0,68,68,68,0,349,349,349,349,349,349,0,68,68,349,68,69,69,349,69,0,68,0,68,68,0
ASV_002253,281,281,281,0,0,0,281,167,167,167,281,0,0,167,167,167,0,0,0,0,0,0,0,0,167,167,0,167,281,281,0,281,0,167,0,167,167,0
ASV_002600,56,56,56,363,363,363,56,0,0,0,56,0,363,0,0,0,363,0,0,0,0,0,0,363,0,0,0,0,56,56,0,56,363,0,363,0,0,363
ASV_002835,68,68,68,322,322,322,68,0,0,0,68,0,322,0,0,0,322,0,0,0,0,0,0,322,0,0,0,0,68,68,0,68,322,0,322,0,0,322
ASV_002976,55,55,55,0,0,0,55,151,151,151,55,115,0,151,151,151,0,115,115,115,115,115,115,0,151,151,115,151,55,55,115,55,0,151,0,151,151,0
ASV_003076,0,0,0,0,0,0,0,265,265,265,0,0,0,265,265,265,0,0,0,0,0,0,0,0,265,265,0,265,0,0,0,0,0,265,0,265,265,0
ASV_003151,98,98,98,259,259,259,98,0,0,0,98,0,259,0,0,0,259,0,0,0,0,0,0,259,0,0,0,0,98,98,0,98,259,0,259,0,0,259
ASV_003161,84,84,84,271,271,271,84,0,0,0,84,0,271,0,0,0,271,0,0,0,0,0,0,271,0,0,0,0,84,84,0,84,271,0,271,0,0,271
ASV_003212,109,109,109,0,0,0,109,183,183,183,109,0,0,183,183,183,0,0,0,0,0,0,0,0,183,183,0,183,109,109,0,109,0,183,0,183,183,0
ASV_003332,84,84,84,0,0,0,84,0,0,0,84,255,0,0,0,0,0,255,255,255,255,255,255,0,0,0,255,0,84,84,255,84,0,0,0,0,0,0
ASV_003425,89,89,89,0,0,0,89,46,46,46,89,180,0,46,46,46,0,180,180,180,180,180,180,0,46,46,180,46,89,89,180,89,0,46,0,46,46,0
ASV_003478,0,0,0,0,0,0,0,236,236,236,0,0,0,236,236,236,0,0,0,0,0,0,0,0,236,236,0,236,0,0,0,0,0,236,0,236,236,0
ASV_003629,65,65,65,0,0,0,65,0,0,0,65,242,0,0,0,0,0,242,242,242,242,242,242,0,0,0,242,0,65,65,242,65,0,0,0,0,0,0
ASV_003663,99,99,99,0,0,0,99,28,28,28,99,171,0,28,28,28,0,171,171,171,171,171,171,0,28,28,171,28,99,99,171,99,0,28,0,28,28,0
ASV_003696,55,55,55,0,0,0,55,109,109,109,55,99,0,109,109,109,0,99,99,99,99,99,99,0,109,109,99,109,55,55,99,55,0,109,0,109,109,0
ASV_003707,58,58,58,0,0,0,58,39,39,39,58,189,0,39,39,39,0,189,189,189,189,189,189,0,39,39,189,39,58,58,189,58,0,39,0,39,39,0
ASV_003948,220,220,220,0,0,0,220,45,45,45,220,19,0,45,45,45,0,19,19,19,19,19,19,0,45,45,19,45,220,220,19,220,0,45,0,45,45,0
ASV_004034,90,90,90,0,0,0,90,0,0,0,90,188,0,0,0,0,0,188,188,188,188,188,188,0,0,0,188,0,90,90,188,90,0,0,0,0,0,0
ASV_004040,184,184,184,0,0,0,184,78,78,78,184,0,0,78,78,78,0,0,0,0,0,0,0,0,78,78,0,78,184,184,0,184,0,78,0,78,78,0
ASV_004275,171,171,171,98,98,98,171,0,0,0,171,0,98,0,0,0,98,0,0,0,0,0,0,98,0,0,0,0,171,171,0,171,98,0,98,0,0,98
ASV_004291,76,76,76,0,0,0,76,0,0,0,76,181,0,0,0,0,0,181,181,181,181,181,181,0,0,0,181,0,76,76,181,76,0,0,0,0,0,0
